,Requirements for,OPTICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,
2,HSS Requirements,36 credits,,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
5,   HSSA #3  ECON,,Social Sciences (S)  ECON 151 or 152,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
12,General Requirements,64 credits,,,,,,ABET Requirements for 2nd Major
13,   RHIT 100,,Foundations for Rose-Hulman Success,,,,required for first major in optical engineering; not required for second major in optical engineering,
14,   CHEM 111,,"Chemistry I   (Lect @ 3, Lab @ 1)",,,,required for first major in optical engineering; not required for second major in optical engineering,
15,   CHEM 113,,"Chemistry II    (Lect @ 3, Lab @ 1)",,,,required for first major in optical engineering; not required for second major in optical engineering,
16,   EM 103,,Intro to Design,2 credits,,,required for first major in optical engineering; required for second major in optical engineering,
17,   EM 104,,Graphical Communications,2 credits,,,required for first major in optical engineering; required for second major in optical engineering,
18,   ECE 203,,DC Circuits,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
19,   ECE 204,,AC Circuits,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
20,   MA 111,,Calculus I,5 credits,,,required for first major in optical engineering; required for second major in optical engineering,
21,   MA 112,,Calculus II,5 credits,,,required for first major in optical engineering; required for second major in optical engineering,
22,   MA 113,,Calculus III,5 credits,,,required for first major in optical engineering; required for second major in optical engineering,
23,   MA 221,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
24,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
25,   MA 381,,Intro to Prob w/ Apps to Statistics,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
26,   ME 123,,Computer Applications I,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
27,   PH 111,,Physics I,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
28,   PH 112,,Physics II,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
29,   PH 113,,Physics III,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
30,OE Requirements,74 credits,,,,,,ABET Requirements for Engineering Courses 2nd major
31,   OE 172,,Lasers and Fiber Optics,2 credits,,,required for first major in optical engineering; required for second major in optical engineering,
32,   OE 280,,Geometrical Optics,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
33,   OE 295,,Photonic Devices and Systems,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
34,   OE 360,,Optical Materials,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
35,   OE 392,,Linear Optical Systems,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
