,Requirements for,CIVIL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",whether required for second major
2,HSSA Requirements,36 credits,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
12,General Requirements,44 credits,,,,,
13,   CHEM 111,,Chemistry I     (Lect@3 + Lab@1),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
14,   CHEM 113,,Chemistry II    (Lect@3 + Lab@1),4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
15,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
16,   MA 111,,Calculus I,5 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
17,   MA 112,,Calculus II,5 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
18,   MA 113,,Calculus III,5 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
19,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
20,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
21,   MA 223,,Engineering Statistics I,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
22,   PH 111,,Physics I,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
23,   PH 112,,Physics II,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
24,CE Requirements,90 credits,,,,,
25,   CE 101,,Engineering Surveying I,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
26,   CE 111,,Geographic Information Systems,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
27,   CE 250,,Sustainable Civil Engineering Design,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
28,   CE 303,,Engineering Economy,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
29,   CE 310,,CE Numerial Methods,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
30,   CE 320,,CE Materials,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
31,   CE 321,,Structural Mechanics I,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
32,   CE 336,,Soil Mechanics,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
33,   CE 371,,Hydraulic Engineering,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
34,   CE 380,,Intro to Transportation Engineering,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
35,   CE 400,,Career Prep Seminar,0 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
36,   CE 431,,Structural Design in Steel I,3 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
37,   CE 432,,Structural Design in Concrete,3 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
